Hyperparameter Evaluation Log

Program finished in 44.945249199998216 seconds
Best parameters: {'n_estimators': 95, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.966903073286052
Params: {'n_estimators': 16, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.8865248226950354
Params: {'n_estimators': 54, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9598108747044918
Params: {'n_estimators': 17, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9054373522458629
Params: {'n_estimators': 34, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.9243498817966903
Params: {'n_estimators': 17, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9078014184397163
Params: {'n_estimators': 64, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9432624113475178
Params: {'n_estimators': 17, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9243498817966903
Params: {'n_estimators': 87, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9361702127659575
Params: {'n_estimators': 49, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 35, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9267139479905437
Params: {'n_estimators': 17, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9125295508274232
Params: {'n_estimators': 54, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9574468085106383
Params: {'n_estimators': 97, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9527186761229315
Params: {'n_estimators': 35, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9361702127659575
Params: {'n_estimators': 17, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.91725768321513
Params: {'n_estimators': 92, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9621749408983451
Params: {'n_estimators': 64, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.9361702127659575
Params: {'n_estimators': 17, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9054373522458629
Params: {'n_estimators': 49, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9456264775413712
Params: {'n_estimators': 35, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9267139479905437
Params: {'n_estimators': 87, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9385342789598109
Params: {'n_estimators': 17, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9125295508274232
Params: {'n_estimators': 54, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9574468085106383
Params: {'n_estimators': 97, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9385342789598109
Params: {'n_estimators': 17, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9078014184397163
Params: {'n_estimators': 35, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9267139479905437
Params: {'n_estimators': 65, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9432624113475178
Params: {'n_estimators': 49, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9479905437352246
