Program finished in 119.14147760003107 seconds
Best parameters: {'C': 0.018329807108324356, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9763593380614657
Params: {'C': 0.01, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9432624113475178
Params: {'C': 162.3776739188721, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9550827423167849
Params: {'C': 48.32930238571752, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9692671394799054
Params: {'C': 162.3776739188721, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.8557919621749409
Params: {'C': 162.3776739188721, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.9078014184397163
Params: {'C': 0.01, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.16548463356973994
Params: {'C': 162.3776739188721, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.04018912529550828
Params: {'C': 162.3776739188721, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 1000.0, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.9645390070921985
Params: {'C': 297.63514416313194, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.966903073286052
Params: {'C': 1000.0, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.9645390070921985
Params: {'C': 1000.0, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.8747044917257684
Params: {'C': 297.63514416313194, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.966903073286052
Params: {'C': 0.01, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.2222222222222222
Params: {'C': 1000.0, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9692671394799054
Params: {'C': 1000.0, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.8794326241134752
Params: {'C': 1000.0, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.9101654846335697
Params: {'C': 1000.0, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.04018912529550828
Params: {'C': 1000.0, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
